old_bounds,new_bounds,node_attributes,new_attributes,change_types,class
,"[975,73][1080,199]",,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ImageView', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': 'More options', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[975,73][1080,199]'}",['CA'],ImageView
"[699,63][1080,210]",,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'androidx.appcompat.widget.LinearLayoutCompat', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[699,63][1080,210]'}",,['CR'],LinearLayoutCompat
"[699,73][826,199]",,"{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.http_shortcuts:id/action_categories', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': 'Categories', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[699,73][826,199]'}",,['CR'],TextView
"[826,73][953,199]",,"{'index': '1', 'text': '', 'resource-id': 'ch.rmy.android.http_shortcuts:id/action_variables', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': 'Variables', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[826,73][953,199]'}",,['CR'],TextView
"[953,73][1080,199]",,"{'index': '2', 'text': '', 'resource-id': 'ch.rmy.android.http_shortcuts:id/action_settings', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': 'Settings', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[953,73][1080,199]'}",,['CR'],TextView
