node_num,xml_level,xml_index,parent_location,isParent,node_attributes,component_validity,old_bounds,new_bounds,total_changes,change_types,change_description,new_attributes
1,0,0,,,,ignored,,,0,,,
2,1,0,"(0, None)",Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,697][1079,1159]'}",valid,"[0,697][1079,1159]","[0,675][1079,1137]",2,"['VT', 'VS']","['Component has been vertically translated', 'Component size has been changed vertically']","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,675][1079,1137]'}"
3,2,0,"(1, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,739][1037,1117]'}",valid,"[42,739][1037,1117]","[63,529][1058,907]",4,"['HT', 'VT', 'VS', 'HS']","['Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[63,529][1058,907]'}"
4,3,0,"(2, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,739][1037,1117]'}",valid,"[42,739][1037,1117]","[63,529][1058,907]",4,"['HT', 'VT', 'VS', 'HS']","['Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[63,529][1058,907]'}"
5,4,0,"(3, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/action_bar_root', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,739][1037,1117]'}",valid,"[42,739][1037,1117]","[63,529][1058,907]",4,"['HT', 'VT', 'VS', 'HS']","['Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/action_bar_root', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[63,529][1058,907]'}"
6,5,0,"(4, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,739][1037,1117]'}",valid,"[42,739][1037,1117]","[63,529][1058,907]",4,"['HT', 'VT', 'VS', 'HS']","['Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[63,529][1058,907]'}"
7,6,0,"(5, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/parentPanel', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,739][1037,1117]'}",valid,"[42,739][1037,1117]","[63,529][1058,907]",4,"['HT', 'VT', 'VS', 'HS']","['Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/parentPanel', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[63,529][1058,907]'}"
8,7,0,"(6, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/contentPanel', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,739][1037,1117]'}",valid,"[42,739][1037,1117]","[63,529][1058,907]",4,"['HT', 'VT', 'VS', 'HS']","['Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/contentPanel', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[63,529][1058,907]'}"
9,8,0,"(7, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/select_dialog_listview', 'class': 'android.widget.ListView', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'true', 'focused': 'true', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,739][1037,1117]'}",valid,"[42,739][1037,1117]","[63,529][1058,907]",4,"['HT', 'VT', 'VS', 'HS']","['Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/select_dialog_listview', 'class': 'android.widget.ListView', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'true', 'focused': 'true', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[63,529][1058,907]'}"
10,9,0,"(8, '0')",Leaf,"{'index': '0', 'text': 'Close tab', 'resource-id': 'android:id/text1', 'class': 'android.widget.TextView', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,760][1037,928]'}",valid,"[42,760][1037,928]","[63,970][995,168]",4,"['HT', 'VT', 'VS', 'HS']","['Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': 'Close tab', 'resource-id': 'android:id/text1', 'class': 'android.widget.TextView', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[63,970][995,168]'}"
