old_bounds,new_bounds,node_attributes,new_attributes,change_types,class
"[0,822][1080,977]","[0,815][1080,1186]","{'index': '4', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,822][1080,977]'}","{'index': '4', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,815][1080,1186]'}","['VT', 'VS']",LinearLayout
"[147,868][210,931]","[147,972][210,1035]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ImageView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[147,868][210,931]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ImageView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[147,972][210,1035]'}","['VT', 'VS']",ImageView
"[252,871][916,928]","[252,864][916,921]","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[252,871][916,928]'}","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[252,864][916,1144]'}","['VT', 'VS']",LinearLayout
"[252,871][916,928]","[252,864][916,921]","{'index': '0', 'text': 'Bluetooth tethering', 'resource-id': '', 'class': 'android.widget.TextView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[252,871][916,928]'}","{'index': '0', 'text': 'Bluetooth tethering', 'resource-id': '', 'class': 'android.widget.TextView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[252,864][916,921]'}","['VT', 'VS']",TextView
"[916,864][1038,935]","[916,968][1038,1039]","{'index': '2', 'text': 'OFF', 'resource-id': '', 'class': 'android.widget.Switch', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'true', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[916,864][1038,935]'}","{'index': '2', 'text': 'OFF', 'resource-id': '', 'class': 'android.widget.Switch', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'true', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[916,968][1038,1039]'}","['VT', 'VS']",Switch
"[0,977][1080,1132]","[0,1186][1080,1341]","{'index': '5', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,977][1080,1132]'}","{'index': '5', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,1186][1080,1341]'}","['VT', 'VS']",LinearLayout
"[147,1023][210,1086]","[147,1232][210,1295]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ImageView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[147,1023][210,1086]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ImageView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[147,1232][210,1295]'}","['VT', 'VS']",ImageView
"[252,1026][916,1083]","[252,1235][916,1292]","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[252,1026][916,1083]'}","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[252,1235][916,1292]'}","['VT', 'VS']",LinearLayout
"[252,1026][916,1083]","[252,1235][916,1292]","{'index': '0', 'text': 'Wi‑Fi hotspot (legacy)', 'resource-id': '', 'class': 'android.widget.TextView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[252,1026][916,1083]'}","{'index': '0', 'text': 'Wi‑Fi hotspot (legacy)', 'resource-id': '', 'class': 'android.widget.TextView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[252,1235][916,1292]'}","['VT', 'VS']",TextView
"[916,1019][1038,1090]","[916,1228][1038,1299]","{'index': '2', 'text': 'OFF', 'resource-id': '', 'class': 'android.widget.Switch', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'true', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[916,1019][1038,1090]'}","{'index': '2', 'text': 'OFF', 'resource-id': '', 'class': 'android.widget.Switch', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'true', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[916,968][1038,1039]'}","['VT', 'VS']",Switch
,"[252,921][916,1144]",,"{'index': '1', 'text': ""Attempt to invoke virtual method 'android.bluetooth.IBluetoothManager android.bluetooth.BluetoothAdapter.getBluetoothManager()' on a null object reference"", 'resource-id': 'be.mygod.vpnhotspot:id/text', 'class': 'android.widget.TextView', 'package': 'be.mygod.vpnhotspot', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[252,921][916,1144]'}",['CA'],TextView
