old_bounds,new_bounds,node_attributes,new_attributes,change_types,class
"[555,325][1070,451]","[555,199][1070,325]","{'index': '2', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,325][1070,451]'}","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,199][1070,325]'}","['VT', 'VS']",LinearLayout
"[597,359][1028,416]","[597,233][1028,290]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,359][1028,416]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,233][1028,290]'}","['VT', 'VS']",RelativeLayout
"[597,359][1028,416]","[597,233][1028,290]","{'index': '0', 'text': 'Settings', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,359][1028,416]'}","{'index': '0', 'text': 'Settings', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,233][1028,290]'}","['VT', 'VS']",TextView
"[555,451][1070,577]","[555,325][1070,451]","{'index': '3', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,451][1070,577]'}","{'index': '2', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,325][1070,451]'}","['VT', 'VS']",LinearLayout
"[597,485][1028,542]","[597,359][1028,416]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,485][1028,542]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,359][1028,416]'}","['VT', 'VS']",RelativeLayout
"[597,485][1028,542]","[597,359][1028,416]","{'index': '0', 'text': 'Feedback', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,485][1028,542]'}","{'index': '0', 'text': 'Feedback', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,359][1028,416]'}","['VT', 'VS']",TextView
"[597,233][1028,290]",,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,233][1028,290]'}",,['CR'],RelativeLayout
"[597,233][1028,290]",,"{'index': '0', 'text': 'Donate', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,233][1028,290]'}",,['CR'],TextView
