node_num,xml_level,xml_index,parent_location,parent_node_num,isParent,node_attributes,component_validity,old_bounds,new_bounds,total_changes,change_types,new_attributes,class
1,0,0,,0.0,,,ignored,,,0,,,
2,1,0,"(0, '0')",1.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,73][1070,577]'}",valid,"[555,73][1070,577]","[555,73][1070,577]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,73][1070,577]'}",FrameLayout
3,2,0,"(1, '0')",2.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,73][1070,577]'}",valid,"[555,73][1070,577]","[555,73][1070,577]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,73][1070,577]'}",FrameLayout
4,3,0,"(2, '0')",3.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ListView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'true', 'focused': 'true', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,73][1070,577]'}",valid,"[555,73][1070,577]","[555,73][1070,577]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.ListView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'true', 'focused': 'true', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,73][1070,577]'}",ListView
5,4,0,"(3, '0')",4.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,73][1070,199]'}",valid,"[555,73][1070,199]","[555,73][1070,199]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,73][1070,199]'}",LinearLayout
6,5,0,"(4, '0')",5.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,107][1028,164]'}",valid,"[597,107][1028,164]","[597,107][1028,164]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,107][1028,164]'}",RelativeLayout
7,6,0,"(5, '0')",6.0,Leaf,"{'index': '0', 'text': 'Print', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,107][1028,164]'}",valid,"[597,107][1028,164]","[597,107][1028,164]",0,NC,"{'index': '0', 'text': 'Print', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,107][1028,164]'}",TextView
8,4,1,"(3, '0')",4.0,Parent,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[555,199][1070,325]'}",valid,"[555,199][1070,325]","[552,199][1067,325]",2,"['HT', 'HS']","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[552,199][1067,325]'}",LinearLayout
9,5,0,"(4, '1')",8.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,233][1028,290]'}",valid,"[597,233][1028,290]","[637,359][1068,416]",4,"['HT', 'VT', 'VS', 'HS']","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.RelativeLayout', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[637,359][1068,416]'}",RelativeLayout
10,6,0,"(5, '0')",9.0,Leaf,"{'index': '0', 'text': 'Donate', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[597,233][1028,290]'}",valid,"[597,233][1028,290]","[637,359][1068,416]",5,"['TC', 'HT', 'VT', 'VS', 'HS']","{'index': '0', 'text': 'edback', 'resource-id': 'com.emmanuelmess.simpleaccounting:id/title', 'class': 'android.widget.TextView', 'package': 'com.emmanuelmess.simpleaccounting', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[637,359][1068,416]'}",TextView
