old_bounds,new_bounds,node_attributes,new_attributes,change_types,class
"[42,252][1038,725]","[42,252][1038,725]","{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.statusbar_tacho:id/speedGauge', 'class': 'android.view.View', 'package': 'ch.rmy.android.statusbar_tacho', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,252][1038,725]'}","{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.statusbar_tacho:id/speedGauge', 'class': 'android.view.View', 'package': 'ch.rmy.android.statusbar_tacho', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,252][1038,725]'}",['IC'],View
"[954,63][1080,210]","[970,84][1060,189]","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.support.v7.widget.LinearLayoutCompat', 'package': 'ch.rmy.android.statusbar_tacho', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[954,63][1080,210]'}","{'index': '1', 'text': '', 'resource-id': '', 'class': 'androidx.appcompat.widget.LinearLayoutCompat', 'package': 'ch.rmy.android.statusbar_tacho', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[970,84][1060,189]'}","['HT', 'VT', 'HS', 'VS']",LinearLayoutCompat
"[954,73][1080,199]","[970,91][1060,181]","{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.statusbar_tacho:id/action_github', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.statusbar_tacho', 'content-desc': 'View on Github', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[954,73][1080,199]'}","{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.statusbar_tacho:id/action_github', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.statusbar_tacho', 'content-desc': 'View on Github', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[970,91][1060,181]'}","['HT', 'VT', 'HS', 'VS']",TextView
"[42,923][912,980]","[42,923][912,980]","{'index': '0', 'text': 'km/h', 'resource-id': 'android:id/text1', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.statusbar_tacho', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,923][912,980]'}","{'index': '0', 'text': 'm/s', 'resource-id': 'android:id/text1', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.statusbar_tacho', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,923][912,980]'}",['TC'],TextView
