old_bounds,new_bounds,node_attributes,new_attributes,change_types,class
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,FrameLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,LinearLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,FrameLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': 'com.finnmglas.launcher:id/action_bar_root', 'class': 'android.widget.LinearLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': 'com.finnmglas.launcher:id/action_bar_root', 'class': 'android.widget.LinearLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,LinearLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,FrameLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': 'com.finnmglas.launcher:id/tutorial_container', 'class': 'android.view.ViewGroup', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': 'com.finnmglas.launcher:id/tutorial_container', 'class': 'android.view.ViewGroup', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,ViewGroup
"[0,0][1080,1668]","[0,0][1080,1668]","{'index': '0', 'text': '', 'resource-id': 'com.finnmglas.launcher:id/tutorial_viewpager', 'class': 'androidx.viewpager.widget.ViewPager', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'true', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1668]'}","{'index': '0', 'text': '', 'resource-id': 'com.finnmglas.launcher:id/tutorial_viewpager', 'class': 'androidx.viewpager.widget.ViewPager', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'true', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1668]'}",NC,ViewPager
"[0,0][1080,1668]","[0,0][1080,1668]","{'index': '1', 'text': '', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_container', 'class': 'android.view.ViewGroup', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1668]'}","{'index': '1', 'text': '', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_container', 'class': 'android.view.ViewGroup', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1668]'}",NC,ViewGroup
"[394,42][687,148]","[394,42][687,148]","{'index': '0', 'text': 'Concept', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_title', 'class': 'android.widget.TextView', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[394,42][687,148]'}","{'index': '0', 'text': 'Concept', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_title', 'class': 'android.widget.TextView', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[394,42][687,148]'}",NC,TextView
"[84,395][996,678]","[84,395][996,678]","{'index': '1', 'text': 'Launcher is designed to be minimal, efficient and free of distraction.\n\nIt is free of payments, ads and tracking services.', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_text', 'class': 'android.widget.TextView', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[84,395][996,678]'}","{'index': '1', 'text': 'Launcher is designed to be minimal, efficient and free of distraction.\n\nIt is free of payments, ads and tracking services.', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_text', 'class': 'android.widget.TextView', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[84,395][996,678]'}",NC,TextView
"[168,899][912,1177]","[168,899][912,1177]","{'index': '2', 'text': 'release v1.5.0', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_badge_version', 'class': 'android.widget.ImageView', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[168,899][912,1177]'}","{'index': '2', 'text': 'release v1.6.0', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_badge_version', 'class': 'android.widget.ImageView', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[168,899][912,1177]'}",['IC'],ImageView
"[84,1398][996,1626]","[84,1398][996,1626]","{'index': '3', 'text': 'The app is open-source (MIT license) and available on GitHub!\n\nMake sure to check out the repository!', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_text_2', 'class': 'android.widget.TextView', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[84,1398][996,1626]'}","{'index': '3', 'text': 'The app is open-source (MIT license) and available on GitHub!\n\nMake sure to check out the repository!', 'resource-id': 'com.finnmglas.launcher:id/tutorial_concept_text_2', 'class': 'android.widget.TextView', 'package': 'com.finnmglas.launcher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[84,1398][996,1626]'}",NC,TextView
