node_num,xml_level,xml_index,parent_location,parent_node_num,isParent,node_attributes,component_validity,old_bounds,new_bounds,total_changes,change_types,new_attributes,class
1,0,0,,0.0,,,ignored,,,0,,,
2,1,0,"(0, '0')",1.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[28,522][1052,1335]'}",valid,"[28,522][1052,1335]","[28,522][1052,1335]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[28,522][1052,1335]'}",FrameLayout
3,2,0,"(1, '0')",2.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",valid,"[70,564][1010,1293]","[70,564][1010,1293]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",LinearLayout
4,3,0,"(2, '0')",3.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",valid,"[70,564][1010,1293]","[70,564][1010,1293]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",FrameLayout
5,4,0,"(3, '0')",4.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'at.jclehner.rxdroid:id/action_bar_root', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",valid,"[70,564][1010,1293]","[70,564][1010,1293]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'at.jclehner.rxdroid:id/action_bar_root', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",FrameLayout
6,5,0,"(4, '0')",5.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",valid,"[70,564][1010,1293]","[70,564][1010,1293]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",FrameLayout
7,6,0,"(5, '0')",6.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'at.jclehner.rxdroid:id/parentPanel', 'class': 'androidx.appcompat.widget.LinearLayoutCompat', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",valid,"[70,564][1010,1293]","[70,564][1010,1293]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'at.jclehner.rxdroid:id/parentPanel', 'class': 'androidx.appcompat.widget.LinearLayoutCompat', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1293]'}",LinearLayoutCompat
8,7,0,"(6, '0')",7.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'at.jclehner.rxdroid:id/contentPanel', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1145]'}",valid,"[70,564][1010,1145]","[70,564][1010,1145]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'at.jclehner.rxdroid:id/contentPanel', 'class': 'android.widget.FrameLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1145]'}",FrameLayout
9,8,0,"(7, '0')",8.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'at.jclehner.rxdroid:id/scrollView', 'class': 'android.widget.ScrollView', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1145]'}",valid,"[70,564][1010,1145]","[70,564][1010,1145]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'at.jclehner.rxdroid:id/scrollView', 'class': 'android.widget.ScrollView', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1145]'}",ScrollView
10,9,0,"(8, '0')",9.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1145]'}",valid,"[70,564][1010,1145]","[70,564][1010,1145]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'at.jclehner.rxdroid', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[70,564][1010,1145]'}",LinearLayout
